iter	Passed	Remaining
674	4338	2088
675	4342	2081
676	4346	2073
677	4350	2066
678	4359	2060
679	4363	2053
680	4368	2046
681	4374	2039
682	4379	2032
683	4384	2025
684	4393	2020
685	4397	2012
686	4403	2006
687	4410	1999
688	4415	1992
689	4421	1986
690	4425	1979
691	4429	1971
692	4435	1964
693	4439	1957
694	4444	1950
695	4448	1943
696	4454	1936
697	4459	1929
698	4464	1922
699	4470	1916
700	4475	1908
701	4486	1904
702	4501	1901
703	4515	1898
704	4521	1892
705	4528	1885
706	4533	1878
707	4538	1871
708	4544	1865
709	4550	1858
710	4555	1851
711	4562	1845
712	4570	1839
713	4574	1832
714	4578	1824
715	4587	1819
716	4591	1812
717	4597	1805
718	4603	1799
719	4607	1791
720	4612	1784
721	4620	1779
722	4624	1771
723	4630	1765
724	4635	1758
725	4641	1751
726	4647	1745
727	4653	1738
728	4659	1731
729	4665	1725
730	4670	1718
731	4678	1712
732	4686	1707
733	4695	1701
734	4700	1694
735	4707	1688
736	4713	1682
737	4721	1676
738	4726	1669
739	4731	1662
740	4735	1655
741	4739	1648
742	4746	1641
743	4752	1635
744	4760	1629
745	4768	1623
746	4779	1618
747	4785	1612
748	4792	1606
749	4798	1599
750	4803	1592
751	4809	1585
752	4816	1580
753	4821	1573
754	4828	1566
755	4832	1559
756	4837	1552
757	4842	1546
758	4849	1539
759	4857	1533
760	4864	1527
761	4869	1520
762	4877	1515
763	4885	1509
764	4892	1502
765	4897	1495
766	4904	1489
767	4913	1484
768	4917	1477
769	4923	1470
770	4928	1463
771	4935	1457
772	4943	1451
773	4949	1445
774	4954	1438
775	4960	1431
776	4966	1425
777	4972	1418
778	4977	1412
779	4982	1405
780	4989	1399
781	4993	1392
782	4998	1385
783	5006	1379
784	5013	1373
785	5021	1367
786	5031	1361
787	5038	1355
788	5042	1348
789	5048	1342
790	5054	1335
791	5060	1328
792	5071	1323
793	5086	1319
794	5093	1313
795	5104	1308
796	5109	1301
797	5115	1294
798	5119	1287
799	5124	1281
800	5129	1274
801	5135	1267
802	5141	1261
803	5146	1254
804	5152	1248
805	5156	1241
806	5166	1235
807	5171	1228
808	5176	1222
809	5182	1215
810	5186	1208
811	5191	1202
812	5197	1195
813	5202	1188
814	5207	1182
815	5211	1175
816	5215	1168
817	5222	1161
818	5227	1155
819	5233	1148
820	5240	1142
821	5245	1135
822	5251	1129
823	5257	1123
824	5265	1116
825	5271	1110
826	5284	1105
827	5297	1100
828	5302	1093
829	5307	1087
830	5312	1080
831	5317	1073
832	5322	1067
833	5330	1060
834	5335	1054
835	5340	1047
836	5346	1041
837	5351	1034
838	5359	1028
839	5364	1021
840	5368	1015
841	5376	1008
842	5380	1002
843	5384	995
844	5391	988
845	5396	982
846	5400	975
847	5406	969
848	5410	962
849	5415	955
850	5419	948
851	5425	942
852	5431	935
853	5440	930
854	5446	923
855	5452	917
856	5459	911
857	5466	904
858	5474	898
859	5503	895
860	5512	889
861	5521	883
862	5528	877
863	5539	871
864	5547	865
865	5554	859
866	5559	852
867	5564	846
868	5571	839
869	5575	833
870	5579	826
871	5592	820
872	5597	814
873	5603	807
874	5607	801
875	5612	794
876	5620	788
877	5624	781
878	5629	774
879	5635	768
880	5639	761
881	5645	755
882	5651	748
883	5659	742
884	5666	736
885	5674	730
886	5683	724
887	5688	717
888	5693	710
889	5700	704
890	5706	698
891	5712	691
892	5718	685
893	5722	678
894	5727	671
895	5733	665
896	5737	658
897	5742	652
898	5749	645
899	5753	639
900	5758	632
901	5765	626
902	5771	620
903	5780	613
904	5787	607
905	5797	601
906	5802	594
907	5806	588
908	5813	581
909	5817	575
910	5821	568
911	5829	562
912	5834	555
913	5840	549
914	5847	543
915	5851	536
916	5859	530
917	5872	524
918	5890	519
919	5898	512
920	5905	506
921	5911	500
922	5916	493
923	5922	487
924	5928	480
925	5933	474
926	5941	467
927	5948	461
928	5957	455
929	5965	448
930	5971	442
931	5977	436
932	5983	429
933	5991	423
934	5998	416
935	6003	410
936	6009	404
937	6014	397
938	6020	391
939	6024	384
940	6040	378
941	6044	372
942	6048	365
943	6061	359
944	6070	353
945	6076	346
946	6084	340
947	6092	334
948	6097	327
949	6106	321
950	6111	314
951	6116	308
952	6122	301
953	6126	295
954	6134	289
955	6140	282
956	6145	276
957	6150	269
958	6156	263
959	6161	256
960	6166	250
961	6173	243
962	6177	237
963	6183	230
964	6187	224
965	6191	217
966	6196	211
967	6201	205
968	6207	198
969	6214	192
970	6220	185
971	6225	179
972	6232	172
973	6237	166
974	6241	160
975	6248	153
976	6253	147
977	6258	140
978	6264	134
979	6272	128
980	6280	121
981	6287	115
982	6292	108
983	6301	102
984	6312	96
985	6317	89
986	6325	83
987	6332	76
988	6341	70
989	6346	64
990	6353	57
991	6360	51
992	6369	44
993	6373	38
994	6378	32
995	6388	25
996	6392	19
997	6402	12
998	6406	6
999	6414	0
